bigram,bigram_tag,bigram_lemma,bigram_lemma_tag,w1_freq,w2_freq,bigram_freq,tp_b,tp_d,log_lklhd,dice,moddice,t_score,z_score,mi_score,mi3_score,g_score,delta_p12,delta_p21,w1_freq_lemma,w2_freq_lemma,bigram_freq_lemma,tp_b_lemma,tp_d_lemma,log_lklhd_lemma,dice_lemma,moddice_lemma,t_score_lemma,z_score_lemma,mi_score_lemma,mi3_score_lemma,g_score_lemma,delta_p12_lemma,delta_p21_lemma,W1,W2,log_bigram_freq,Participle,SemanticSim,Plural,W1_lemma,W2_lemma,ItemID
astonished faces,astonished_jj faces_nn2,astonished face,astonished_j face_n,700,14453,6,4.15E-04,0.008571429,23.85279465,7.92E-04,-7.717390826,39.50293957,39.50231991,8.033844497,13.2037695,-4.741151637,4.14E-04,0.008538736,1322,136857,16,1.17E-04,0.012102874,37.48169899,2.32E-04,-8.076178851,24.36574042,24.36180541,5.288358307,13.28835831,-4.024110278,1.14E-04,0.011793215,astonished,faces,1.791759469,3,1,2,astonished_j,face_n,011_astonished_face_01
astonished look,astonished_jj look_nn1,astonished look,astonished_j look_n,700,52238,7,1.34E-04,0.01,21.0047884,2.64E-04,-9.077306226,24.04683153,24.04539524,6.402506239,12.01721608,-4.52234235,1.32E-04,0.009881806,1322,71945,11,1.53E-04,0.008320726,28.25834751,3.00E-04,-8.242012686,23.24670522,23.24477205,5.675492822,12.59435606,-4.129434252,1.50E-04,0.008157946,astonished,look,1.945910149,3,1,1,astonished_j,look_n,012_astonished_look_02
astronomical observations,astronomical_jj observations_nn2,astronomical observation,astronomical_j observation_n,2045,8996,65,0.00723,0.031784841,359.8433161,0.011774296,-0.385847599,318.3685945,318.3660864,10.60858921,22.65332484,1.438089468,0.007220953,0.031764631,2897,18853,85,0.00451,0.029340697,409.8961143,0.007816092,-0.589945908,241.4287498,241.4243761,9.425714946,22.24449682,1.457577642,0.004502203,0.029298227,astronomical,observations,4.17438727,1,1,2,astronomical_j,observation_n,013_astronomical_observation_01
astronomical units,astronomical_jj units_nn2,astronomical unit,astronomical_j unit_n,2045,17394,78,0.00448,0.038141809,399.6461668,0.008025104,-0.675861946,274.6415798,274.6367989,9.920389443,22.49119388,2.058772641,0.004479854,0.038102625,2897,44429,132,0.00297,0.045564377,589.6712027,0.005578329,-0.441557131,244.047048,244.0355253,8.824010572,22.91279881,2.555503791,0.002964775,0.045464136,astronomical,units,4.356708827,1,1,2,astronomical_j,unit_n,014_astronomical_unit_02
attractive market,attractive_jj market_nn1,attractive market,attractive_j market_n,11569,66363,13,1.96E-04,0.001123693,12.94840527,3.34E-04,-7.849048785,8.544682244,8.543954528,2.903546158,10.30442559,-3.261333701,1.70E-04,9.74E-04,11733,107252,18,1.68E-04,0.001534134,15.67672062,3.03E-04,-7.520570181,8.97925285,8.977872753,2.660170126,11.00002013,-2.652668044,1.41E-04,0.001291467,attractive,market,2.564949357,2,1,1,attractive_j,market_n,015_attractive_market_01
attractive places,attractive_jj places_nn2,attractive place,attractive_j place_n,11569,37024,16,4.32E-04,0.001383006,25.92117596,6.59E-04,-6.568460883,15.2671118,15.2665896,4.045024776,12.04502478,-2.667306758,4.06E-04,0.001299258,11733,220480,82,3.72E-04,0.006988835,122.0914049,7.06E-04,-4.109985206,31.47204853,31.46340689,3.808153887,16.5232579,-0.364561656,3.46E-04,0.006490081,attractive,places,2.772588722,2,1,2,attractive_j,place_n,016_attractive_place_02
bad idea,bad_jj idea_nn1,bad idea,bad_j idea_n,81889,94185,1360,0.0144,0.016607847,3997.174362,0.01544805,4.392959509,321.360335,321.354979,6.283973665,27.10275554,4.624858606,0.014257398,0.016397754,147871,134137,1621,0.0121,0.010962258,3696.42033,0.011496128,4.219960187,235.2548903,235.2565249,5.174515513,26.49985226,5.080711107,0.011753609,0.010662286,bad,idea,7.215239979,1,1,1,bad_j,idea_n,017_bad_idea_01
bad luck,bad_jj luck_nn1,bad luck,bad_j luck_n,81889,14607,1206,0.0826,0.014727253,5395.973959,0.024995855,4.913846864,731.3826487,731.4382823,8.799434327,29.27146271,5.130377476,0.08238057,0.014696922,147871,15823,1342,0.0848,0.009075478,5346.824014,0.016396447,4.459695995,580.9198869,581.0066236,7.985628273,28.76596619,4.824880699,0.084481653,0.009042698,bad,luck,7.095064377,1,1,1,bad_j,luck_n,018_bad_luck_02
bare arms,bare_jj arms_nn2,bare arm,bare_j arm_n,8419,48880,164,0.00336,0.019479748,596.5951595,0.005724358,-0.091118331,168.9823771,168.9745342,7.460336645,22.17544065,1.614415998,0.003336473,0.019369506,9711,90776,250,0.00275,0.025744002,836.6740065,0.004975768,0.314919223,175.5940318,175.5776352,6.969531307,22.90109988,2.26286769,0.002732618,0.025539145,bare,arms,5.099866428,1,1,2,bare_j,arm_n,019_bare_arm_01
bare chest,bare_jj chest_nn1,bare chest,bare_j chest_n,8419,23021,135,0.00586,0.016035159,556.2389736,0.008587786,0.213317597,203.1864245,203.1830331,8.265894019,22.41952521,1.017299133,0.005845464,0.015983369,9711,24751,148,0.00598,0.015240449,593.9634333,0.008589171,0.346187921,199.9405383,199.9370946,8.088024491,22.50693122,1.174640031,0.005957915,0.015184773,bare,chest,4.905274778,1,1,1,bare_j,chest_n,020_bare_chest_02
capable lawyer,capable_jj lawyer_nn1,capable lawyer,capable_j lawyer_n,14910,25185,6,2.38E-04,4.02E-04,5.714149475,2.99E-04,-9.121209716,5.587090986,5.586973497,2.819867224,7.989792225,-6.384618146,2.05E-04,3.45E-04,15033,50022,9,1.80E-04,5.99E-04,6.683385849,2.77E-04,-8.649522321,5.594831327,5.594462164,2.402979029,8.742829032,-5.392933309,1.46E-04,4.86E-04,capable,lawyer,1.791759469,1,1,1,capable_j,lawyer_n,021_capable_lawyer_01
capable learners,capable_jj learners_nn2,capable learner,capable_j learner_n,14910,3999,7,0.00175,4.69E-04,18.05359554,7.40E-04,-7.592075604,18.68947809,18.68970551,5.69711319,11.31182303,-5.114084405,0.001716713,4.60E-04,15033,6480,7,0.00108,4.66E-04,15.14110279,6.51E-04,-7.778211259,14.43968596,14.43981882,4.988905972,10.60361582,-5.31333755,0.001046244,4.51E-04,capable,learners,1.945910149,1,1,2,capable_j,learner_n,022_capable_learner_02
cavernous auditorium,cavernous_jj auditorium_nn1,cavernous auditorium,cavernous_j auditorium_n,967,1560,5,0.00321,0.005170631,27.3357296,0.003957262,-5.659353759,85.51934085,85.51928326,10.51640017,15.16025636,-4.540065045,0.003202951,0.005167112,986,2725,5,0.00183,0.005070994,24.82791328,0.002694691,-6.213736096,64.04516443,64.04503793,9.683618215,14.3274744,-4.130284287,0.001832642,0.005064839,cavernous,auditorium,1.609437912,2,1,1,cavernous_j,auditorium_n,023_cavernous_auditorium_01
cavernous lobby,cavernous_jj lobby_nn1,cavernous lobby,cavernous_j lobby_n,967,6400,6,9.38E-04,0.006204757,26.40172005,0.001628886,-6.676936526,50.58242328,50.58211062,8.742908702,13.9128337,-4.068567966,9.35E-04,0.006190288,986,8066,6,7.44E-04,0.006085193,25.09720802,0.001325674,-6.974095868,44.59082805,44.5904684,8.381055445,13.55098045,-4.039900226,7.42E-04,0.006066954,cavernous,lobby,1.791759469,2,1,1,cavernous_j,lobby_n,024_cavernous_lobby_02
celebrated essay,celebrated_jj essay_nn1,celebrated essay,celebrated_j essay_n,1964,9148,8,8.75E-04,0.00407332,29.80692196,0.001439885,-6.439830884,39.47388645,39.47356142,7.620354606,13.62035461,-3.914624084,8.70E-04,0.004052637,2426,14845,10,6.74E-04,0.004122012,33.18265247,0.001158011,-6.432207808,34.74378609,34.74328829,6.939049258,13.58290545,-2.953273644,6.68E-04,0.004088441,celebrated,essay,2.079441542,2,1,1,celebrated_j,essay_n,025_celebrated_essay_01
celebrated works,celebrated_jj works_nn,celebrated works,celebrated_j works_n,1964,18828,8,4.25E-04,0.00407332,24.826931,7.70E-04,-7.343740918,27.36636296,27.36582846,6.579003119,12.57900312,-3.731637579,4.20E-04,0.004030732,2426,26354,9,3.42E-04,0.00370981,24.61280346,6.25E-04,-7.472928969,23.28102736,23.28037437,5.959001308,12.29885131,-3.082387163,3.36E-04,0.003650194,celebrated,works,2.079441542,2,1,1,celebrated_j,works_n,026_celebrated_works_02
certain circumstances,certain_jj circumstances_nn2,certain circumstance,certain_j circumstance_n,69484,18860,408,0.0216,0.005871855,1398.095061,0.00923662,1.914006149,235.2043137,235.2177149,7.104164569,24.44901525,4.103759468,0.021476767,0.005830094,71413,21493,412,0.0192,0.005769258,1358.674197,0.00886918,1.869516904,219.2046582,219.2169513,6.890196644,24.2631977,3.938701236,0.019008355,0.005721546,certain,circumstances,6.011267174,1,2,2,certain_j,circumstance_n,027_certain_circumstance_01
certain conditions,certain_jj conditions_nn2,certain condition,certain_j condition_n,69484,41073,409,0.00996,0.005886247,1126.811967,0.007398898,1.597483218,158.4006286,158.4054862,5.98483561,23.33674968,4.501530719,0.009801555,0.005794214,71413,69426,422,0.00608,0.005909288,974.8787613,0.005992658,1.338511014,122.638487,122.638238,5.233186122,22.6753845,4.272582265,0.005917743,0.005753113,certain,conditions,6.013715156,1,2,2,certain_j,condition_n,028_certain_condition_02
competitive pressures,competitive_jj pressures_nn2,competitive pressure,competitive_j pressure_n,15311,7407,114,0.0154,0.007445627,505.9851332,0.010036095,0.194231817,224.5275367,224.5295363,8.795109972,22.46089,2.253821658,0.015356456,0.007429123,15871,54873,200,0.00364,0.0126016,631.942481,0.00565419,0.177392206,141.0633986,141.0569992,6.665116417,21.9528288,2.41553221,0.003609313,0.012477876,competitive,pressures,4.736198448,2,1,2,competitive_j,pressure_n,029_competitive_pressure_01
competitive spirit,competitive_jj spirit_nn1,competitive spirit,competitive_j spirit_n,15311,21387,95,0.00444,0.006204689,319.0625181,0.005177394,-1.023702603,109.4996121,109.4988177,7.002302681,20.1420139,1.054725496,0.004407517,0.006156506,15871,35132,100,0.00285,0.0063008,294.4302092,0.003921338,-1.350582109,87.90191058,87.89990567,6.30842716,19.59613954,1.002135727,0.002810717,0.006221523,competitive,spirit,4.553876892,2,1,1,competitive_j,spirit_n,030_competitive_spirit_02
complex machine,complex_jj machine_nn1,complex machine,complex_j machine_n,17525,22268,19,8.53E-04,0.001084165,34.9227953,9.55E-04,-5.784372021,19.27884123,19.27869043,4.427290793,12.92314582,-1.642757738,8.14E-04,0.001033816,25859,40672,50,0.00123,0.001933563,90.93969059,0.001503059,-3.734026718,30.86756563,30.86690633,4.392903481,15.68061586,0.140317527,0.001170938,0.001841634,complex,machine,2.944438979,2,1,1,complex_j,machine_n,031_complex_machine_01
complex set,complex_jjnn1 set_nn1,complex set,complex_j set_n,7916,29554,24,8.12E-04,0.003031834,59.16031933,0.001281025,-5.023523356,32.25741279,32.25657438,5.502515289,14.67244029,-1.615370015,7.94E-04,0.002965009,25859,49823,223,0.00448,0.00862369,650.1597357,0.005893079,0.394137206,128.8947412,128.891054,6.257171233,21.85897103,2.910286486,0.004417826,0.008511443,complex,set,3.17805383,2,1,1,complex_j,set_n,032_complex_set_02
concerned adults,concerned_jj adults_nn2,concerned adult,concerned_j adult_n,31502,23876,11,4.61E-04,3.49E-04,9.7560215,3.97E-04,-7.838162093,7.126968888,7.126959909,2.692176746,9.611039984,-5.032501735,3.89E-04,2.95E-04,36357,45631,16,3.51E-04,4.40E-04,9.513993263,3.90E-04,-7.323125148,6.320193154,6.319926767,2.091502281,10.09150228,-4.506854453,2.68E-04,3.37E-04,concerned,adults,2.397895273,3,1,2,concerned_j,adult_n,033_concerned_adult_01
concerned scientists,concerned_jj scientists_nn2,concerned scientist,concerned_j scientist_n,31502,26793,12,4.48E-04,3.81E-04,10.39468193,4.12E-04,-7.661159526,7.300947288,7.300902408,2.651412659,9.821337661,-4.697873591,3.77E-04,3.20E-04,36357,41044,194,0.00473,0.005335974,517.8540306,0.005012855,-0.040238901,103.7345411,103.7338206,5.844258056,21.04408374,0.624994213,0.004644794,0.005243526,concerned,scientists,2.48490665,3,1,2,concerned_j,scientist_n,034_concerned_scientist_02
confidential basis,confidential_jj basis_nn1,confidential basis,confidential_j basis_n,2488,31880,14,4.39E-04,0.00562701,41.01025105,8.15E-04,-6.454068434,32.6216758,32.62056036,6.285394614,13.90010446,-2.738255688,4.34E-04,0.005554899,2908,32152,14,4.35E-04,0.004814305,39.03297901,7.99E-04,-6.482828532,29.97642716,29.97540181,6.048096977,13.66280682,-2.857402853,4.29E-04,0.00474158,confidential,basis,2.63905733,1,1,1,confidential_j,basis_n,035_confidential_basis_01
confidential conversations,confidential_jj conversations_nn2,confidential conversation,confidential_j conversation_n,2488,8646,11,0.00127,0.004421222,42.3041172,0.00197593,-5.523821131,49.63639462,49.63604446,7.820018199,14.73888144,-2.641145859,0.001266659,0.004401682,2908,37751,19,5.03E-04,0.0065337,55.3446846,9.35E-04,-5.815432085,37.62208626,37.62056046,6.25706319,14.75291822,-2.251306492,4.97E-04,0.006448316,confidential,conversations,2.397895273,1,1,2,confidential_j,conversation_n,036_confidential_conversation_02
constructive comments,constructive_jj comments_nn2,constructive comment,constructive_j comment_n,2644,15371,35,0.00228,0.013237519,150.5453997,0.003885651,-2.878344997,115.1092113,115.1075431,8.572027621,18.83059365,-0.412521008,0.002271111,0.013202815,2737,30491,38,0.00125,0.013883814,142.4848776,0.002287228,-3.524256812,87.00879505,87.00603274,7.652626419,18.14848145,-0.489543852,0.001240161,0.013814902,constructive,comments,3.555348061,2,2,2,constructive_j,comment_n,037_constructive_comment_01
constructive suggestions,constructive_jj suggestions_nn2,constructive suggestion,constructive_j suggestion_n,2644,6847,38,0.00555,0.014372163,192.877553,0.008007586,-1.71648936,187.5429487,187.5420537,9.857339226,20.35319425,0.001910294,0.005543979,0.014356755,2737,14142,41,0.0029,0.014979905,183.7494831,0.004858108,-2.327837804,138.2384116,138.2366183,8.870648212,19.58575222,-0.257424212,0.002893065,0.014947996,constructive,suggestions,3.63758616,2,2,2,constructive_j,suggestion_n,038_constructive_suggestion_02
democratic system,democratic_jj system_nn1,democratic system,democratic_j system_n,16530,153484,338,0.0022,0.020447671,911.0991573,0.003976143,0.426464846,138.6675967,138.6452752,5.87952606,22.68128493,3.66829094,0.00216553,0.020101103,50218,215848,408,0.00189,0.008124577,664.8171997,0.003066908,0.323426046,77.42757044,77.41063962,4.056026661,21.40087735,3.472469821,0.001777448,0.007637,democratic,system,5.823045895,2,1,1,democratic_j,system_n,039_democratic_system_01
democratic values,democratic_jj values_nn2,democratic value,democratic_j value_n,16530,34696,397,0.0114,0.024016939,1635.956067,0.015499941,2.621401772,347.3431823,347.3359537,8.256888836,25.52287923,4.258072751,0.011405731,0.02393932,50218,88726,450,0.00507,0.00896093,1105.192398,0.00647743,1.543418372,138.5422879,138.5356147,5.479969401,23.10753178,3.688892102,0.004959151,0.008761147,democratic,values,5.983936281,2,1,2,democratic_j,value_n,040_democratic_value_02
disturbing dreams,disturbing_jj dreams_nn2,disturbing dream,disturbing_j dream_n,4237,14682,11,7.49E-04,0.002596177,32.22678566,0.001162852,-6.288684977,28.94300803,28.94265352,6.288017789,13.20688103,-2.879985905,7.40E-04,0.002562977,5537,42901,30,6.99E-04,0.005418096,79.28897095,0.001238697,-4.750070486,40.18505368,40.18328361,5.802452604,15.6162338,-1.419986647,6.87E-04,0.005321082,disturbing,dreams,2.397895273,2,1,2,disturbing_j,dream_n,041_disturbing_dream_01
disturbing facts,disturbing_jj facts_nn2,disturbing fact,disturbing_j fact_n,4237,17943,13,7.25E-04,0.003068209,37.71503639,0.001172227,-6.036092309,30.92768681,30.92719035,6.239653273,13.64053271,-2.514343328,7.15E-04,0.003027634,5537,175217,30,1.71E-04,0.005418096,44.04813671,3.32E-04,-6.649886857,18.76538272,18.76119209,3.77239303,13.58617422,-2.667713235,1.59E-04,0.005021659,disturbing,facts,2.564949357,2,1,2,disturbing_j,fact_n,042_disturbing_fact_02
dramatic changes,dramatic_jj changes_nn2,dramatic change,dramatic_j change_n,16871,45711,444,0.00971,0.026317349,1758.939142,0.014189384,2.655371588,334.7790944,334.7680336,7.991078708,25.57991044,4.734100401,0.009676021,0.02621491,17354,123743,944,0.00763,0.054396681,3530.335484,0.013380866,3.658958311,426.0268376,425.9749347,7.601849516,27.36713561,5.594357888,0.00759157,0.054118787,dramatic,changes,6.095824562,2,1,2,dramatic_j,change_n,043_dramatic_change_01
dramatic increase,dramatic_jj increase_nn1,dramatic increase,dramatic_j increase_n,16871,19609,380,0.0194,0.022523858,1733.719155,0.020833333,2.984893108,438.3242651,438.3228691,8.987543866,26.12725508,4.005854724,0.019341537,0.022480342,17354,33897,504,0.0149,0.029042296,2171.855304,0.019667909,3.309267313,435.6804031,435.6721599,8.564603806,26.51916365,4.560218735,0.01483044,0.028966727,dramatic,increase,5.940171253,2,1,1,dramatic_j,increase_n,044_dramatic_increase_02
eligible applicants,eligible_jj applicants_nn2,eligible applicant,eligible_j applicant_n,5982,2947,6,0.00204,0.001003009,20.9580307,0.001343935,-6.954357894,29.84058195,29.84068309,7.232693431,12.40261843,-4.393390209,0.002022446,9.96E-04,6112,4502,11,0.00244,0.001799738,39.95667458,0.002072734,-5.454817596,43.83281824,43.83289555,7.46482692,14.38369016,-3.251534364,0.002429552,0.001789575,eligible,applicants,1.791759469,1,1,2,eligible_j,applicant_n,045_eligible_applicant_01
eligible recipients,eligible_jj recipients_nn2,eligible recipient,eligible_j recipient_n,5982,4079,7,0.00172,0.001170177,23.4189167,0.001391512,-6.681776243,29.55460446,29.55466593,6.986117406,12.60082725,-4.189259174,0.001702586,0.001160963,6112,7653,8,0.00105,0.001308901,23.20572281,0.001162368,-6.748716989,24.26411445,24.26406651,6.239935959,12.23993596,-4.215418856,0.001031529,0.0012916,eligible,recipients,1.945910149,1,1,2,eligible_j,recipient_n,046_eligible_recipient_02
endless horizon,endless_jj horizon_nn1,endless horizon,endless_j horizon_n,7859,7999,9,0.00113,0.001145184,24.73596573,0.001135074,-6.613073207,23.48486803,23.48485749,5.983365499,12.3232155,-3.784566597,0.001107376,0.001127103,8134,10898,12,0.0011,0.001475289,32.4088726,0.001261034,-6.046214555,26.34517824,26.3450848,5.902611921,13.07253692,-2.87163572,0.00108274,0.001450654,endless,horizon,2.197224577,1,1,1,endless_j,horizon_n,047_endless_horizon_01
endless maze,endless_jj maze_nn1,endless maze,endless_j maze_n,7859,2120,11,0.00519,0.001399669,44.74007034,0.00220463,-5.365816297,56.45683039,56.45719606,8.188627504,15.10749074,-3.053853591,0.00517092,0.001394897,8134,2794,12,0.00429,0.001475289,46.48306274,0.002196193,-5.245816767,52.68866709,52.688984,7.866271391,15.03619639,-2.616690189,0.004276538,0.001468993,endless,maze,2.397895273,1,1,1,endless_j,maze_n,048_endless_maze_02
erroneous assumptions,erroneous_jj assumptions_nn2,erroneous assumption,erroneous_j assumption_n,1032,6403,14,0.00219,0.013565891,71.14784145,0.003765972,-4.245407183,114.3664951,114.3657983,9.870769843,17.48547969,-1.869247292,0.002184171,0.013551434,1049,14336,36,0.00251,0.034318398,187.1004677,0.004679883,-2.56938682,194.9649365,194.9619994,10.04694559,20.38679559,-0.564258939,0.002508868,0.034286039,erroneous,assumptions,2.63905733,1,1,2,erroneous_j,assumption_n,049_erroneous_assumption_01
erroneous conclusion,erroneous_jj conclusion_nn1,erroneous conclusion,erroneous_j conclusion_n,1032,12869,13,0.00101,0.012596899,57.34856892,0.001870369,-5.362021613,74.81564544,74.81463838,8.756774602,16.15765404,-2.809828604,0.001007874,0.012567807,1049,24854,38,0.00153,0.036224976,181.1531639,0.002934023,-3.164976548,156.2030055,156.1987846,9.331112585,19.82696761,-1.054795939,0.001526641,0.03616882,erroneous,conclusion,2.564949357,1,1,1,erroneous_j,conclusion_n,050_erroneous_conclusion_02
excellent article,excellent_jj article_nn1,excellent article,excellent_j article_n,15384,40045,109,0.00272,0.007085283,319.6929903,0.003932959,-1.22198471,91.13682688,91.13417693,6.288881249,19.8252499,1.175108241,0.002687369,0.006994909,17430,60393,130,0.00215,0.007458405,341.2945328,0.003340915,-1.203173349,82.68681221,82.68258178,5.770163615,19.81489924,1.517447123,0.002113414,0.00732203,excellent,article,4.691347882,1,1,1,excellent_j,article_n,051_excellent_article_01
excellent chance,excellent_jj chance_nn1,excellent chance,excellent_j chance_n,15384,55040,122,0.00222,0.007930317,336.3811245,0.003464728,-1.242304877,86.75159614,86.74753123,5.992575912,19.85405059,0.808269088,0.002182029,0.007806038,17430,69295,128,0.00185,0.00734366,319.3441963,0.002951859,-1.404160315,75.77098527,75.76627948,5.549425884,19.54942588,0.826271743,0.001808016,0.007187136,excellent,chance,4.804021045,1,1,1,excellent_j,chance_n,052_excellent_chance_02
exclusive access,exclusive_jj access_nn1,exclusive access,exclusive_j access_n,7699,33471,84,0.00251,0.010910508,290.6589279,0.004080641,-1.544670983,109.2367667,109.2335235,7.170412504,19.95504735,1.355855908,0.002492402,0.010834955,8120,39398,86,0.00218,0.010591133,283.2665281,0.003619681,-1.683656986,100.2255741,100.2219512,6.892340439,19.74486995,1.081763128,0.00216467,0.010502172,exclusive,access,4.430816799,2,1,1,exclusive_j,access_n,053_exclusive_access_01
exclusive club,exclusive_jj club_nn1,exclusive club,exclusive_j club_n,7699,22976,104,0.00453,0.013508248,413.0746031,0.006780766,-0.503896287,163.7459804,163.7431171,8.0213188,21.42219824,1.421118436,0.004509275,0.01345649,8120,51824,134,0.00259,0.016502463,461.2948008,0.004470839,-0.739149355,136.3422687,136.3354121,7.136666897,21.26884528,2.086376091,0.002567601,0.016385491,exclusive,club,4.644390899,2,1,1,exclusive_j,club_n,054_exclusive_club_02
experienced prosecutors,experienced_jj prosecutors_nn2,experienced prosecutor,experienced_j prosecutor_n,4427,7969,12,0.00151,0.002710639,41.91599655,0.001936108,-5.427662038,42.1883133,42.18813913,7.231840332,14.40176533,-2.231806311,0.001495844,0.002692633,6577,18829,25,0.00133,0.003801125,76.10408497,0.001968039,-4.345169251,46.69638653,46.69571664,6.479147945,15.76686032,-1.303930184,0.001312912,0.003758573,experienced,prosecutors,2.48490665,3,1,2,experienced_j,prosecutor_n,055_experienced_prosecutor_01
